# Number of events per node.
# Node ID	#Fusions	#Fissions	#TerminalLosses	#TerminalEmergences	#SingleDomainLosses	#SingleDomainEmergences	#Maintained
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0
3	212	57	58	6	34	29	4156
4	59	26	22	5	27	12	4147
5	59	16	25	3	20	7	4236
6	196	64	75	2	160	6	3900
7	203	75	50	2	34	0	4285
8	30	13	11	2	0	3	4301
9	22	40	39	0	5	0	4306
10	112	30	24	0	14	1	4357
11	55	1	4	0	7	0	4461
12	221	23	49	0	31	1	4371
13	113	8	19	0	14	0	4360
14	549	102	64	1	3	2	4628
15	322	115	63	0	8	0	5586
16	44	7	2	0	9	3	5551
17	479	48	26	4	33	7	5139
18	345	25	18	0	45	1	4856
19	155	184	87	1	166	8	3859
20	20	8	4	0	0	0	4345
21	15	7	6	0	2	0	4361
22	231	16	30	0	41	0	4094
23	240	153	117	0	28	3	4219
24	44	10	10	0	2	0	4347
25	163	37	39	2	54	3	4256
26	57	22	26	0	10	2	4402
27	291	119	111	2	13	3	4498
28	370	82	50	8	47	53	4333
