# Number of events per node.
# Node ID	#Fusions	#Fissions	#TerminalLosses	#TerminalEmergences	#SingleDomainLosses	#SingleDomainEmergences	#Maintained
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
2	7	8	7	8	175	36	2771
3	154	60	91	3	126	11	2578
4	6	8	12	6	39	32	2577
5	10	1	11	0	23	0	2594
6	2	1	5	0	23	0	2708
7	86	18	38	2	71	2	2543
8	51	29	79	0	186	2	2425
9	25	8	22	0	13	2	2676
10	43	13	28	0	141	1	2646
11	24	9	23	0	6	2	2829
12	18	3	9	1	26	1	2924
13	57	17	27	1	127	0	2757
14	67	14	31	0	74	1	2851
15	55	14	24	1	49	2	2884
16	9	2	7	2	15	40	2558
17	14	2	11	2	5	7	2656
18	17	1	24	1	9	8	2737
19	51	49	34	0	129	1	2766
20	24	15	29	1	5	13	2961
21	26	5	11	0	6	0	3259
22	22	4	7	0	14	0	3304
23	9	2	7	0	11	1	3362
24	74	7	15	0	86	5	3167
25	89	17	26	0	29	7	3328
26	14	4	5	0	39	1	3325
27	143	43	61	1	147	4	2979
28	61	17	35	1	72	2	3211
29	57	6	25	0	29	3	3289
30	4	1	6	0	6	1	3263
31	12	4	6	0	13	1	3240
32	28	2	10	1	97	4	3113
33	26	8	15	0	6	3	3257
34	79	14	28	1	34	0	3292
35	18	5	19	0	4	1	3338
36	38	14	24	1	62	4	3302
37	8	9	8	0	4	1	3355
38	73	17	27	1	69	0	3201
39	19	11	15	0	5	1	3339
40	24	9	15	0	18	1	3381
41	89	30	45	0	53	3	3345
42	57	26	22	2	160	1	3234
43	10	1	7	0	12	0	3396
44	221	16	37	0	132	2	3085
45	65	35	40	0	90	2	3213
46	8	6	13	0	21	0	3240
47	70	15	32	0	122	4	3046
48	133	41	52	0	81	2	3034
49	7	5	12	1	46	12	2671
50	23	11	26	1	40	5	2662
51	9	9	14	3	62	19	2562
52	11	7	13	0	19	2	2623
53	17	32	42	1	119	4	2522
54	17	5	15	3	21	2	2647
55	6	4	9	6	60	30	2529
56	11	2	14	0	40	0	2559
57	7	4	17	0	31	1	2571
58	8	5	12	0	42	2	2560
59	15	1	12	4	10	10	2608
60	7	3	14	1	42	1	2643
61	9	3	11	0	5	3	2693
62	24	7	10	1	140	3	2470
63	22	5	18	1	47	0	2522
64	14	4	9	0	11	4	2578
65	11	1	7	1	3	3	2655
66	9	3	11	0	11	0	2647
67	10	1	9	0	19	0	2644
68	7	5	9	0	7	0	2663
69	97	3	14	7	84	20	3237
70	0	0	0	0	0	0	0
