# Number of events per node.
# Node ID	#Fusions	#Fissions	#TerminalLosses	#TerminalEmergences	#SingleDomainLosses	#SingleDomainEmergences	#Maintained
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0
3	10	1	2	1	1	5	4168
4	17	6	5	1	4	1	4137
5	59	5	7	0	15	0	4094
6	27	3	8	0	7	0	4286
7	85	45	34	0	29	1	4260
8	87	15	24	0	33	1	4265
9	21	0	3	0	3	0	4267
10	84	14	34	1	30	0	4242
11	18	1	8	0	4	0	4230
12	74	15	15	0	48	1	4144
13	14	5	10	0	4	0	4182
14	26	19	16	0	52	0	4064
15	147	64	51	0	64	0	3983
16	281	69	48	0	119	4	3757
17	20	3	8	0	3	0	4198
18	16	2	10	0	1	0	4236
19	42	14	10	0	30	0	4172
20	57	9	17	0	16	0	4275
21	49	17	19	0	26	0	4243
22	22	11	13	0	5	0	4221
23	15	10	6	0	9	0	4286
24	70	24	31	1	22	1	4252
25	78	23	28	0	25	0	4233
26	13	7	4	0	1	1	4284
27	119	18	20	1	18	2	4216
28	15	15	10	0	0	0	4219
29	16	11	8	0	26	0	4220
30	96	12	27	0	24	1	4173
31	243	188	190	6	348	55	3233
32	20	1	3	0	1	0	4272
33	16	8	10	0	4	0	4271
34	28	9	10	0	3	0	4282
35	20	8	18	0	1	0	4380
36	62	45	54	1	20	9	4326
37	93	80	71	0	32	0	4258
38	29	6	9	0	15	0	4328
39	25	17	22	0	11	0	4364
40	17	1	2	0	10	0	4365
41	96	10	16	0	11	0	4309
42	24	43	43	0	27	0	4274
43	394	79	97	0	41	3	3785
44	49	37	32	0	27	1	4222
45	29	4	5	0	3	0	4210
46	55	26	24	0	42	0	4178
47	23	3	5	0	2	0	4261
48	110	22	9	0	26	2	4208
49	37	9	11	0	1	0	4260
50	89	39	48	2	42	1	4179
51	25	9	10	0	2	0	4282
52	79	19	30	0	40	3	4197
53	17	15	12	0	2	0	4251
54	13	22	15	0	1	0	4269
55	132	83	60	0	168	0	3809
56	19	10	13	0	6	0	4319
57	112	33	32	15	6	50	4378
58	63	21	24	1	48	0	4281
59	9	7	7	0	2	0	4316
60	68	22	27	0	38	0	4212
61	48	20	22	0	12	1	4260
62	54	52	67	0	40	1	4314
63	8	26	16	0	2	0	4367
64	36	45	36	0	62	0	4244
65	62	66	66	3	27	28	4269
66	23	11	9	0	11	2	4067
67	21	13	9	0	12	1	4028
68	24	5	6	1	18	4	3979
69	33	8	12	1	18	14	4039
70	28	12	10	0	0	0	4151
71	33	8	18	0	11	1	4161
72	226	46	69	0	133	15	3780
73	32	10	13	0	10	0	4205
74	76	40	47	0	29	0	4176
75	67	37	32	0	22	0	4204
76	49	8	17	0	11	0	4219
77	218	234	202	4	27	31	4214
78	37	3	5	0	11	0	4264
79	19	1	7	0	11	1	4303
80	51	14	23	1	17	0	4272
81	45	39	32	0	40	0	4194
82	48	6	9	0	6	1	4300
83	30	21	17	1	7	6	4111
84	15	6	9	0	1	0	4248
85	17	7	12	0	5	2	4240
86	15	5	6	0	2	0	4275
87	29	18	6	0	1	3	4257
88	9	3	3	0	1	0	4338
89	7	12	21	0	13	0	4251
90	52	99	95	0	112	0	3841
91	57	60	58	0	24	0	4163
92	36	2	7	0	6	2	4301
93	9	5	3	0	4	0	4348
94	45	22	38	1	12	1	4300
95	27	11	14	0	10	0	4315
96	89	25	21	0	17	1	4216
97	29	11	19	0	12	0	4253
98	50	22	18	0	24	0	4284
99	58	83	98	0	43	0	4113
100	85	21	39	0	27	3	4191
101	39	9	10	0	7	0	4237
102	19	4	5	0	6	0	4288
103	55	24	24	0	17	0	4217
104	59	21	27	0	14	0	4234
105	58	26	49	0	18	0	4244
106	56	19	23	0	25	1	4014
107	84	16	21	0	41	1	4126
108	50	29	27	1	19	1	4120
109	159	91	104	0	66	1	4001
110	130	36	57	1	57	3	4106
111	46	47	73	0	35	5	3883
112	217	123	134	8	115	17	3941
113	38	15	22	1	6	2	3999
114	45	9	12	0	3	0	3950
115	73	6	13	0	11	0	3990
116	54	20	45	1	61	0	4026
117	51	6	11	1	9	0	4193
118	80	73	87	0	28	0	4170
119	99	36	61	3	17	8	4280
120	23	18	24	0	9	0	4027
121	199	86	86	1	127	4	3574
122	166	79	77	1	50	3	3880
123	174	82	68	1	136	1	3686
124	39	8	13	0	23	0	4051
125	142	44	79	0	122	1	3881
126	57	24	28	0	10	1	4044
127	229	30	42	2	36	2	4171
128	17	10	15	0	18	2	4207
129	226	133	100	0	184	0	3559
130	179	27	42	0	25	2	4103
131	35	18	14	0	67	1	4003
132	275	73	112	0	267	4	3393
133	158	39	61	0	80	2	3896
134	14	2	8	0	14	0	4123
135	131	38	49	0	128	0	3817
136	24	16	24	0	23	0	3988
137	53	13	18	0	25	1	3982
138	129	14	40	0	27	2	4156
139	17	9	14	0	19	0	4156
140	136	23	46	10	58	36	4039
141	128	150	136	3	186	29	3595
142	74	30	33	0	91	0	3854
143	90	63	48	0	87	0	3921
144	472	84	80	12	31	25	4067
