# Number of events per node.
# Node ID	#Fusions	#Fissions	#TerminalLosses	#TerminalEmergences	#SingleDomainLosses	#SingleDomainEmergences	#Maintained
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
2	421	146	66	5	35	7	4077
3	92	17	18	9	15	45	4036
4	48	6	8	1	5	1	4286
5	161	74	88	2	33	0	4225
6	182	35	37	0	34	3	4214
7	23	9	12	0	1	0	4230
8	95	9	7	0	2	4	4135
9	430	20	29	0	52	3	4111
10	56	8	8	0	2	2	4233
11	93	13	11	2	1	2	4192
12	85	20	21	0	0	0	4185
13	324	24	28	0	118	1	3989
14	52	32	22	0	2	0	4252
15	778	120	99	1	89	5	3947
16	91	21	13	0	0	0	4298
17	278	28	14	1	27	0	4442
18	27	12	6	0	1	0	4458
19	16	3	3	0	7	0	4508
20	90	65	49	0	81	2	4130
21	362	31	31	0	52	1	4316
22	18	6	5	0	0	0	4545
23	30	5	3	0	1	0	4573
24	402	87	73	93	23	135	4362
25	363	19	21	0	41	2	4415
26	4	7	1	0	2	1	4560
27	77	107	106	0	64	0	4059
28	385	18	21	0	46	1	4421
29	331	15	27	0	30	0	4219
30	231	58	62	1	32	1	4117
31	48	38	38	0	7	5	4091
32	183	60	31	2	0	1	4140
33	459	28	38	2	110	1	4268
34	56	23	23	0	9	1	4529
35	457	64	47	0	124	1	4150
36	741	119	90	0	12	1	4511
37	107	93	92	0	101	1	3925
38	0	0	0	0	0	0	0
