# Number of events per node.
# Node ID	#Fusions	#Fissions	#TerminalLosses	#TerminalEmergences	#SingleDomainLosses	#SingleDomainEmergences	#Maintained
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
2	52	16	19	6	4	15	5706
3	32	14	14	5	1	10	5710
4	48	34	19	2	1	22	5602
5	39	10	11	0	7	3	5759
6	50	22	25	0	38	0	5631
7	47	25	23	0	69	0	5426
8	46	19	20	0	27	0	5561
9	110	139	181	0	84	1	5384
10	104	46	59	0	32	0	5490
11	23	20	21	0	3	1	5575
12	34	11	22	0	28	0	5577
13	90	113	97	0	157	0	5267
14	137	60	68	0	54	0	5434
15	59	64	75	0	51	0	5499
16	154	94	86	1	92	2	5489
17	219	92	107	0	103	2	5584
18	21	18	17	1	1	29	5733
19	63	8	15	8	1	39	5776
20	40	16	11	4	1	33	6022
21	33	29	32	0	2	0	6130
22	44	53	49	0	7	0	5807
23	44	18	12	0	16	0	5972
24	138	103	115	1	197	1	5517
25	256	52	57	0	69	0	5734
26	126	78	112	0	273	0	5385
27	263	91	91	1	78	0	5985
28	11	3	5	0	0	2	6192
29	23	3	7	0	0	0	6199
30	30	4	12	0	0	0	6209
31	19	14	14	0	58	0	6185
32	196	45	81	0	102	0	5914
33	141	147	171	0	262	0	5378
34	45	6	8	0	0	0	6259
35	50	30	26	0	1	0	6205
36	40	17	10	0	2	0	6253
37	133	12	19	0	8	4	6226
38	84	8	16	0	11	0	6572
39	44	6	9	0	5	0	6829
40	28	22	27	2	48	0	6701
41	105	40	58	0	37	2	6516
42	96	139	154	1	307	0	5481
43	93	119	128	0	124	0	6030
44	115	38	67	0	67	0	6168
45	22	14	17	0	0	0	6108
46	56	8	5	0	0	0	6126
47	34	6	6	0	16	0	6272
48	117	61	77	0	173	0	6054
49	130	49	71	0	103	1	6169
50	11	11	13	0	0	0	6270
51	85	12	24	0	0	1	6269
52	63	12	13	1	0	3	6577
53	37	21	17	0	0	0	6729
54	18	8	13	0	5	0	6824
55	73	77	96	0	61	0	6550
56	90	60	55	0	167	0	6449
57	39	43	37	0	30	0	6714
58	27	12	16	0	1	0	6751
59	24	9	16	0	3	0	6757
60	47	20	12	0	1	1	6743
61	30	5	3	0	3	0	6828
62	36	50	47	1	68	0	6613
63	79	21	22	0	10	0	6844
64	58	64	65	0	73	1	6589
65	72	73	87	0	81	0	6533
66	65	77	88	0	101	0	6474
67	89	63	64	0	35	0	6511
68	88	133	162	0	543	0	4845
69	122	171	191	0	402	0	4962
70	16	18	7	0	0	0	6165
71	140	162	206	0	522	0	4768
72	79	8	10	0	0	0	6159
73	27	9	2	0	0	0	6375
74	11	14	9	0	17	0	6409
75	143	83	83	0	136	1	5940
76	122	84	123	0	162	0	6008
77	37	8	15	0	0	0	6443
78	55	14	14	0	6	0	6482
79	52	15	22	0	1	0	6516
80	30	6	10	0	14	0	6642
81	83	61	81	0	201	0	6283
82	92	83	63	0	56	0	6393
83	84	40	39	0	39	1	6540
84	62	79	81	0	76	1	6397
85	115	50	52	0	74	0	6328
86	38	16	19	0	0	0	6361
87	55	14	14	0	4	0	6407
88	63	12	12	0	7	0	6471
89	87	52	53	0	50	0	6465
90	109	63	68	0	48	0	6465
91	90	67	57	0	122	0	6185
92	128	233	178	0	188	0	5905
93	94	13	23	0	11	0	6005
94	24	18	28	0	69	1	6100
95	139	157	158	0	344	0	5073
96	150	92	88	0	156	0	5769
97	198	37	58	0	69	1	6098
98	153	359	222	1	300	1	4967
99	178	54	73	0	143	1	5468
100	205	108	120	0	103	0	5548
101	75	14	14	0	4	1	5756
102	64	28	20	0	18	1	5822
103	77	17	18	0	5	0	6009
104	303	63	77	1	39	3	5958
105	213	201	125	1	99	1	5793
106	13	12	16	0	20	0	5818
107	41	10	5	0	5	0	5754
108	42	13	23	0	45	0	5729
109	114	160	137	1	168	1	5404
110	137	46	53	0	97	0	5581
111	38	1	5	0	0	0	5830
112	36	17	18	0	0	0	5851
113	41	19	37	0	5	0	5838
114	78	25	17	0	9	0	5896
115	185	68	49	1	26	1	6067
116	97	95	66	2	44	0	5996
117	88	88	93	0	164	1	5576
118	94	68	77	0	90	1	5718
119	200	28	32	0	115	1	5689
120	134	108	123	1	103	0	5476
121	211	50	55	0	99	0	5685
122	0	0	0	0	0	0	0
