"","GO.ID","Term","Annotated","Significant","Expected","fisher"
"1","GO:0003777","microtubule motor activity",1743,288,91.72,"< 1e-30"
"2","GO:0005515","protein binding",89246,5482,4696.32,"< 1e-30"
"3","GO:0008270","zinc ion binding",15912,1287,837.32,"< 1e-30"
"4","GO:0016887","ATPase activity",5107,411,268.74,"< 1e-30"
"5","GO:0003676","nucleic acid binding",49560,2617,2607.96,"4.7e-26"
"6","GO:0004803","transposase activity",214,52,11.26,"1.2e-20"
"7","GO:0016614","oxidoreductase activity, acting on CH-OH...",2212,198,116.4,"4.1e-20"
"8","GO:0004866","endopeptidase inhibitor activity",1311,110,68.99,"1.9e-15"
"9","GO:0005524","ATP binding",31217,1942,1642.71,"3.0e-15"
"10","GO:0046983","protein dimerization activity",2762,233,145.34,"3.5e-14"
"11","GO:0004984","olfactory receptor activity",213,42,11.21,"1.4e-13"
"12","GO:0004252","serine-type endopeptidase activity",2817,240,148.24,"4.3e-13"
"13","GO:0004523","RNA-DNA hybrid ribonuclease activity",270,47,14.21,"6.1e-13"
"14","GO:0004222","metalloendopeptidase activity",2533,220,133.29,"6.4e-13"
"15","GO:0004559","alpha-mannosidase activity",459,43,24.15,"7.0e-13"
"16","GO:0050660","flavin adenine dinucleotide binding",1379,133,72.57,"9.7e-13"
"17","GO:0016705","oxidoreductase activity, acting on paire...",1497,95,78.78,"4.6e-12"
"18","GO:0030983","mismatched DNA binding",713,81,37.52,"1.2e-10"
"19","GO:0022857","transmembrane transporter activity",13281,694,698.88,"1.5e-09"
"20","GO:0005549","odorant binding",368,49,19.36,"3.3e-09"
"21","GO:0005216","ion channel activity",5250,377,276.27,"2.0e-08"
"22","GO:0004930","G-protein coupled receptor activity",2036,158,107.14,"7.7e-08"
"23","GO:0004371","glycerone kinase activity",159,25,8.37,"1.0e-06"
"24","GO:0003677","DNA binding",23095,1326,1215.31,"1.6e-06"
"25","GO:0051539","4 iron, 4 sulfur cluster binding",479,51,25.21,"1.9e-06"
"26","GO:0005509","calcium ion binding",7929,509,417.24,"3.2e-06"
"27","GO:0004175","endopeptidase activity",7030,514,369.93,"7.4e-06"
"28","GO:0004525","ribonuclease III activity",411,44,21.63,"8.2e-06"
"29","GO:0005272","sodium channel activity",313,44,16.47,"8.9e-06"
"30","GO:0010181","FMN binding",362,40,19.05,"9.7e-06"
"31","GO:0004435","phosphatidylinositol phospholipase C act...",495,50,26.05,"1.0e-05"
"32","GO:0005534","galactose binding",154,22,8.1,"2.1e-05"
"33","GO:0016491","oxidoreductase activity",19735,1098,1038.5,"5.0e-05"
"34","GO:0042302","structural constituent of cuticle",276,31,14.52,"6.7e-05"
"35","GO:0005248","voltage-gated sodium channel activity",145,20,7.63,"8.0e-05"
"36","GO:0003924","GTPase activity",3683,247,193.81,"8.0e-05"
"37","GO:0044877","macromolecular complex binding",1657,63,87.19,"8.2e-05"
"38","GO:0004672","protein kinase activity",11974,675,630.1,"8.5e-05"
"39","GO:0005388","calcium-transporting ATPase activity",127,18,6.68,"0.00012"
"40","GO:0004180","carboxypeptidase activity",745,41,39.2,"0.00014"
"41","GO:0009036","Type II site-specific deoxyribonuclease ...",3,3,0.16,"0.00015"
"42","GO:0005319","lipid transporter activity",772,55,40.62,"0.00034"
"43","GO:0016597","amino acid binding",249,22,13.1,"0.00055"
"44","GO:0005507","copper ion binding",1085,78,57.1,"0.00061"
"45","GO:0016743","carboxyl- or carbamoyltransferase activi...",145,18,7.63,"0.00065"
"46","GO:0016891","endoribonuclease activity, producing 5'-...",841,101,44.26,"0.00077"
"47","GO:0004743","pyruvate kinase activity",161,19,8.47,"0.00087"
"48","GO:0030955","potassium ion binding",161,19,8.47,"0.00087"
"49","GO:0003755","peptidyl-prolyl cis-trans isomerase acti...",795,63,41.83,"0.00098"
"50","GO:0004865","protein serine/threonine phosphatase inh...",139,17,7.31,"0.00107"
"51","GO:0004016","adenylate cyclase activity",164,19,8.63,"0.00109"
