"","GO.ID","Term","Annotated","Significant","Expected","fisher"
"1","GO:0005515","protein binding",134919,8276,7183.38,"< 1e-30"
"2","GO:0004866","endopeptidase inhibitor activity",2497,227,132.95,"< 1e-30"
"3","GO:0003777","microtubule motor activity",1989,240,105.9,"< 1e-30"
"4","GO:0003676","nucleic acid binding",59709,3221,3179.04,"5.4e-23"
"5","GO:0016887","ATPase activity",4412,348,234.9,"2.7e-18"
"6","GO:0005509","calcium ion binding",15048,1041,801.19,"8.3e-18"
"7","GO:0004435","phosphatidylinositol phospholipase C act...",1096,120,58.35,"1.6e-13"
"8","GO:0004016","adenylate cyclase activity",152,34,8.09,"8.9e-13"
"9","GO:0005219","ryanodine-sensitive calcium-release chan...",243,43,12.94,"4.7e-12"
"10","GO:0004386","helicase activity",2468,187,131.4,"2.5e-11"
"11","GO:0010181","FMN binding",474,61,25.24,"2.7e-10"
"12","GO:0004714","transmembrane receptor protein tyrosine ...",471,59,25.08,"1.5e-09"
"13","GO:0004970","ionotropic glutamate receptor activity",541,64,28.8,"3.1e-09"
"14","GO:0005234","extracellularly glutamate-gated ion chan...",507,61,26.99,"3.8e-09"
"15","GO:0005388","calcium-transporting ATPase activity",266,39,14.16,"1.2e-08"
"16","GO:0004143","diacylglycerol kinase activity",793,82,42.22,"1.3e-08"
"17","GO:0034061","DNA polymerase activity",1311,75,69.8,"1.5e-08"
"18","GO:0004559","alpha-mannosidase activity",379,28,20.18,"1.4e-07"
"19","GO:0005262","calcium channel activity",639,85,34.02,"4.5e-07"
"20","GO:0030983","mismatched DNA binding",876,80,46.64,"2.8e-06"
"21","GO:0003779","actin binding",3036,210,161.64,"3.0e-06"
"22","GO:0016627","oxidoreductase activity, acting on the C...",1706,120,90.83,"3.9e-06"
"23","GO:0016286","small conductance calcium-activated pota...",129,21,6.87,"4.9e-06"
"24","GO:0035091","phosphatidylinositol binding",2657,178,141.46,"2.0e-05"
"25","GO:0003700","DNA binding transcription factor activit...",9582,595,510.17,"2.5e-05"
"26","GO:0003810","protein-glutamine gamma-glutamyltransfer...",178,24,9.48,"2.9e-05"
"27","GO:0005516","calmodulin binding",499,49,26.57,"3.6e-05"
"28","GO:0051920","peroxiredoxin activity",160,22,8.52,"4.5e-05"
"29","GO:0004488","methylenetetrahydrofolate dehydrogenase ...",245,29,13.04,"5.4e-05"
"30","GO:0044877","macromolecular complex binding",1971,78,104.94,"6.3e-05"
"31","GO:0004517","nitric-oxide synthase activity",221,26,11.77,"0.00014"
"32","GO:0004672","protein kinase activity",16788,1022,893.83,"0.00015"
"33","GO:0003989","acetyl-CoA carboxylase activity",140,19,7.45,"0.00017"
"34","GO:0005200","structural constituent of cytoskeleton",230,26,12.25,"0.00027"
