# Node-ID	solution type	event type	new arrangement at node	arrangement at parental node
2	exact solution	fission	PF00094 PF08742 PF01826 PF00094 PF08742 | PF01826 PF00094 PF08742 PF00094 PF08742	PF00094 PF08742 PF01826 PF00094 PF08742 PF01826 PF00094 PF08742 PF00094 PF08742
2	exact solution	fission	PF00094 PF08742 PF01826 | PF00094 PF08742 PF01826 PF00094 PF08742 PF00094 PF08742	PF00094 PF08742 PF01826 PF00094 PF08742 PF01826 PF00094 PF08742 PF00094 PF08742
2	exact solution	fission	PF00094 | PF08742 PF01826 PF00094 PF08742 PF01826 PF00094 PF08742	PF00094 PF08742 PF01826 PF00094 PF08742 PF01826 PF00094 PF08742
2	exact solution	fission	PF00097 PF00643 PF13765 | PF00622	PF00097 PF00643 PF13765 PF00622
2	exact solution	fission	PF00157 | PF00046	PF00157 PF00046
2	exact solution	fission	PF00168 | PF08151 PF00168 PF08150 PF00168 PF16165	PF00168 PF08151 PF00168 PF08150 PF00168 PF16165
2	exact solution	fission	PF00219 PF00093 PF00090 | PF00007	PF00219 PF00093 PF00090 PF00007
2	exact solution	fission	PF00270 PF00271 | PF02889 PF00270 PF00271 PF02889	PF00270 PF00271 PF02889 PF00270 PF00271 PF02889
2	exact solution	fission	PF00289 | PF02786 PF02785 PF00364	PF00289 PF02786 PF02785 PF00364
2	exact solution	fission	PF00319 | PF12347	PF00319 PF12347
2	exact solution	fission	PF00675 PF05193 | PF16187 PF05193	PF00675 PF05193 PF16187 PF05193
2	exact solution	fission	PF00778 | PF02377 PF00595 PF00610 PF12316	PF00778 PF02377 PF00595 PF00610 PF12316
2	exact solution	fission	PF00787 | PF04212 PF00069	PF00787 PF04212 PF00069
2	exact solution	fission	PF00788 | PF00169 PF08947 PF00017	PF00788 PF00169 PF08947 PF00017
2	exact solution	fission	PF00969 | PF07654	PF00969 PF07654
2	exact solution	fission	PF00993 | PF07654	PF00993 PF07654
2	exact solution	fission	PF00999 | PF16644	PF00999 PF16644
2	exact solution	fission	PF01094 | PF07562 PF00003	PF01094 PF07562 PF00003
2	exact solution	fission	PF01347 PF09172 PF09175 | PF00094	PF01347 PF09172 PF09175 PF00094
2	exact solution	fission	PF01590 | PF00233	PF01590 PF00233
2	exact solution	fission	PF01835 PF07703 PF01821 PF00207 PF10569 PF07678 | PF07677 PF01759	PF01835 PF07703 PF01821 PF00207 PF10569 PF07678 PF07677 PF01759
2	exact solution	fission	PF01835 | PF07703 PF00207 PF10569 PF07678 PF07677	PF01835 PF07703 PF00207 PF10569 PF07678 PF07677
2	exact solution	fission	PF01835 | PF07703 PF01821 PF00207 PF10569 PF07678 PF07677 PF01759	PF01835 PF07703 PF01821 PF00207 PF10569 PF07678 PF07677 PF01759
2	exact solution	fission	PF02196 PF00130 | PF07714	PF02196 PF00130 PF07714
2	exact solution	fission	PF02214 | PF00520 PF03521	PF02214 PF00520 PF03521
2	exact solution	fission	PF02376 | PF00046	PF02376 PF00046
2	exact solution	fission	PF02897 | PF00326	PF02897 PF00326
2	exact solution	fission	PF03456 PF02141 | PF03455	PF03456 PF02141 PF03455
2	exact solution	fission	PF03951 | PF00120	PF03951 PF00120
2	exact solution	fission	PF04960 | PF12796	PF04960 PF12796
2	exact solution	fission	PF07686 | PF00193 PF00008 PF00059 PF00084	PF07686 PF00193 PF00008 PF00059 PF00084
2	exact solution	fission	PF07815 | PF14604	PF07815 PF14604
2	exact solution	fission	PF08069 | PF00312	PF08069 PF00312
2	exact solution	fission	PF08385 PF08393 PF12774 PF07728 PF12775 PF12780 PF12777 PF12781 | PF03028	PF08385 PF08393 PF12774 PF07728 PF12775 PF12780 PF12777 PF12781 PF03028
2	exact solution	fission	PF09379 PF00373 PF09380 | PF00769	PF09379 PF00373 PF09380 PF00769
2	exact solution	fission	PF10660 | PF09360	PF10660 PF09360
2	exact solution	fission	PF11878 PF00169 PF14429 | PF06920	PF11878 PF00169 PF14429 PF06920
